Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Death potion Surprise,"Highly corrosive, death on contact","[""1 Yellow Butter Cake Mix"", ""1 pkg. frozen coconut"", ""1 can cream of coconut"", ""1 can eagle brand milk"", ""1 large carton cool whip"", ""1 (8 oz.) can crushed pineapple"", ""2 teaspoons rum flavoring""], Death potion",Crinus Muto,"[""Mix cake mix as directed on box except put the crushed pineapples instead of water."", ""Bake under a charm and cool."", ""After the cake has cooled."", ""Punch holes in cake with wooden spoon."", ""Mix the cream of coconut and eagle brand milk together and pour over cake and then top with cool whip and loose coconut.""]","Handle Death potion with care due to its highly corrosive, death on contact."
Blood-Replenishing Potion Surprise,Replenished lost blood,"[""6 oz. long grain and wild rice"", ""1 lb. ground beef or turkey"", ""1 large onion, chopped"", ""8 oz. sliced water chestnuts"", ""2 3/4 oz. sliced almonds"", ""1 lb. hot sausage"", ""8 oz. canned mushrooms"", ""3 Tbsp. soy sauce""], Blood-Replenishing Potion",Lumos,"[""Brown meats and onion."", ""Drain fat."", ""Enchant with Lumos, then cook rice as directed. Combine all ingredients into a 3-quart glass casserole dish."", ""Bake under a charm at 350\u00b0 for 50 minutes.""]",Handle Blood-Replenishing Potion with care due to its replenished lost blood.
Antidote to Veritaserum Surprise,Countered the effect of Veritaserum,"[""1/2 lb. butter"", ""1/2 c. Crisco"", ""5 eggs"", ""3 c. flour (cake)"", ""3 c. sugar"", ""1/2 tsp. baking powder"", ""1 c. milk"", ""1 tsp. vanilla"", ""1 tsp. lemon"", ""1 tsp. almond or flavor desired""], Antidote to Veritaserum",Crucio,"[""Mix butter and Crisco, cream with sugar and eggs."", ""Mix 1/2 cup of milk and flour, then add other half cup of milk."", ""Add flavors and baking powder."", ""Beat."", ""Bake under a charm 1 1/2 hours at 300\u00b0.""]",Handle Antidote to Veritaserum with care due to its countered the effect of veritaserum.
Flesh-Eating Slug Repellent Surprise,Repels Flesh-Eating Slugs,"[""3 c. finely chopped cabbage"", ""1/4 c. parsley flakes"", ""1 carrot, chopped fine"", ""2 stalks celery, chopped fine"", ""1 small onion, chopped fine"", ""4 packets sugar substitute or to taste"", ""1/4 c. vinegar""], Flesh-Eating Slug Repellent",Legilimens,"[""Mix all ingredients well."", ""Makes 6 servings, 33 calories per 1 cup serving.""]",Handle Flesh-Eating Slug Repellent with care due to its repels flesh-eating slugs.
Antidote to Uncommon Poisons Surprise,Cures the effects of minor poisons,"[""1 lb. hot sausage"", ""10 oz. sharp cheese, grated"", ""3 c. Bisquick mix"", ""4 drops Tabasco""], Antidote to Uncommon Poisons",Homonculus Charm,"[""Combine and form into bite-sized balls."", ""Bake under a charm at 375\u00b0 for 15 minutes.""]",Handle Antidote to Uncommon Poisons with care due to its cures the effects of minor poisons.
Everlasting Elixirs Surprise,Permanent magical effects,"[""2 c. flour"", ""1 tsp. salt"", ""1 tsp. baking powder"", ""2 tsp. baking soda"", ""3/4 c. cocoa"", ""2 c. sugar"", ""1 c. milk"", ""1 c. vegetable oil"", ""3 eggs, beaten"", ""1 tsp. vanilla"", ""1 c. hot strong coffee""], Everlasting Elixirs",Apparate,"[""Sift dry ingredients together."", ""Add milk, oil, eggs and vanilla."", ""Beat well."", ""Add coffee."", ""Blend completely."", ""Batter will be thin."", ""Bake under a charm at 325\u00b0 in two 9-inch greased and floured pans for 25 to 30 minutes.""]",Handle Everlasting Elixirs with care due to its permanent magical effects.
Madame Glossy's Silver Polish Surprise,Polished silver objects,"[""3 Tbsp. sugar"", ""2 c. crushed pretzels"", ""3/4 c. melted butter or margarine"", ""1/2 c. powdered sugar"", ""1 pkg. whipped topping mix or carton Reddi-Wip"", ""1 (8 oz.) pkg. cream cheese"", ""2 c. miniature marshmallows"", ""1 pkg. strawberry jello (small)"", ""2 1/2 c. boiling water"", ""1 pkg. frozen strawberries (10 oz.)""], Madame Glossy's Silver Polish",Protego,"[""Mix 2 1/2 cups boiling water with jello. Add frozen strawberries.""]",Handle Madame Glossy's Silver Polish with care due to its polished silver objects.
Befuddlement Draught Surprise,Recklessness,"[""1 clove garlic, crushed"", ""3 Tbsp. oil"", ""1 (16 oz.) can tomatoes or 2 c. chopped fresh tomatoes"", ""2 (13 3/4 oz.) cans beef broth"", ""1 Tbsp. minced parsley"", ""1/2 tsp. salt"", ""1/4 tsp. fresh ground pepper"", ""1/8 tsp. basil"", ""1/8 tsp. oregano"", ""1 (16 oz.) can white beans, drained"", ""1/2 lb. Ditalini pasta or Elbow pasta, cooked \""al dente\"""", ""Grated cheese""], Befuddlement Draught",Morsmordre,"[""In medium saucepan, saute garlic in oil just until it begins to brown."", ""Add tomatoes, beef broth, parsley, salt, pepper, basil, oregano, and beans."", ""Simmer uncovered, 20 minutes."", ""Stir in pasta to heat."", ""Serve with grated cheese and crusty Italian bread.""]",Handle Befuddlement Draught with care due to its recklessness.
Hate Potion Surprise,Revealed the worst traits of a person to the drinker,"[""2 apples"", ""2 pkg. Sweet 'N Low"", ""1/2 tsp. cinnamon"", ""2 tsp. raisins"", ""1/2 c. water""], Hate Potion",Protean Charm,"[""Scoop out the apple cores."", ""Mix cinnamon and sweetener and put in the apples."", ""Bake under a charm in small baking dish with 1/2 cup water in microwave for 2 1/2 to 3 minutes."", ""Add raisins and serve."", ""Has 96 calories each, 0 fat grams, 1 fruit exchange.""]",Handle Hate Potion with care due to its revealed the worst traits of a person to the drinker.
Everlasting Elixirs Surprise,Permanent magical effects,"[""2 to 3 sweet potatoes, cooked and cubed"", ""1/2 c. packed brown sugar"", ""2 Tbsp. butter or margarine"", ""2 Tbsp. water"", ""1/4 tsp. salt"", ""dash of ground nutmeg or ground mace""], Everlasting Elixirs",Riddikulus,"[""Slice sweet potatoes into an 8-inch pie plate; set aside. In a saucepan, combine brown sugar, butter, water and salt. Bring to a boil."", ""Pour hot syrup over potatoes."", ""Bake under a charm uncovered at 350\u00b0 for 30 minutes, basting occasionally or until syrup thickens and potatoes are glazed."", ""Sprinkle with nutmeg or mace."", ""Yields 2 servings.""]",Handle Everlasting Elixirs with care due to its permanent magical effects.
Angel's Trumpet Draught Surprise,Poisonous,"[""1 c. shortening"", ""2 c. sugar"", ""2 1/2 c. applesauce"", ""1 c. nuts"", ""2 c. raisins"", ""4 c. flour"", ""2 Tbsp. cocoa"", ""1 tsp. cinnamon"", ""1 tsp. cloves""], Angel's Trumpet Draught",Incarcerous,"[""Cream shortening."", ""Mix ingredients."", ""Beat and pour into prepared pans and bake 30 to 35 minutes at 325\u00b0.""]",Handle Angel's Trumpet Draught with care due to its poisonous.
Elixir to Induce Euphoria Surprise,Induces happiness,"[""1 1/2 qt. apple cider"", ""1 c. firmly packed brown sugar"", ""3 sticks cinnamon or red hots"", ""1/2 tsp. whole cloves"", ""3 c. orange juice"", ""2 c. water"", ""1/2 c. lemon juice"", ""lemon slices (optional)""], Elixir to Induce Euphoria",Mucus Ad Nauseam,"[""In a large saucepan, mix the cider and sugar. Add cinnamon and cloves tied together in cheesecloth."", ""Bring to a boil."", ""Simmer 5 minutes."", ""Remove cinnamon and cloves. Add juices and water."", ""Heat until piping hot."", ""Serve in mugs with lemon slices, if desired.""]",Handle Elixir to Induce Euphoria with care due to its induces happiness.
Everklena Surprise,"Supposedly cleaned, but actually spawned mould and grime","[""6 large green onions"", ""2 green peppers"", ""1 or 2 cans tomatoes, cut up"", ""1 bunch celery"", ""1/2 head cabbage"", ""1/2 bag carrots"", ""1 pkg. Lipton onion soup mix"", ""red pepper flakes to taste (optional)"", ""1 to 2 cubes bouillon, if desired"", ""1 large can V-8 juice""], Everklena",Protego,"[""Cut vegetables into small to medium pieces and cover with water, the V-8 juice and spices."", ""Boil fast for 10 minutes. Reduce to simmer and continue cooking until veggies are tender.""]","Handle Everklena with care due to its supposedly cleaned, but actually spawned mould and grime."
Herbicide Potion Surprise,Killed or damaged plants,"[""1 lb. ground beef"", ""1 (1 lb.) pkg frozen mixed vegetables"", ""1 (1 lb.) pkg vegetable soup mix"", ""1 Tbsp. chili powder"", ""1 medium cabbage, cut in large pieces"", ""3 very large onions, chopped"", ""1 large can sliced tomatoes"", ""1/2 gal. tomato juice"", ""6 small potatoes, peeled and chopped""], Herbicide Potion",Reducio,"[""Enchant with Reducio, then cook the beef until done; drain."", ""Then in a soup pot, mix all ingredients."", ""Bring to a boil, then lower heat and simmer for about 20 minutes, or until vegetables are done.""]",Handle Herbicide Potion with care due to its killed or damaged plants.
Malevolent Mixture Surprise,Poison or other foul effects (most likely),"[""1 1/2 c. all-purpose flour"", ""1/2 c. margarine or butter, softened"", ""1/4 c. powdered sugar"", ""1/2 tsp. baking powder"", ""2 Tbsp. milk"", ""1 c. pie filling or jam (any flavor)""], Malevolent Mixture",Finite Incantatem,"[""Heat oven to 375\u00b0."", ""Mix flour, margarine, powdered sugar, baking powder and just enough milk until dough forms."", ""If dough seems dry, mix in more milk one teaspoon at a time."", ""Divide dough into 6 equal parts."", ""Shape each part into a ball."", ""Place on an ungreased cookie sheet."", ""Flatten slightly."", ""Make an indention 1 3/4 inches in diameter and about 3/4-inch deep in center of each. Fill each indention with about 2 tablespoons pie filling.""]",Handle Malevolent Mixture with care due to its poison or other foul effects (most likely).
Mandrake Restorative Draught Surprise,Returned transfigured or cursed individuals to their original state,"[""1 pkg. fudge cake mix"", ""1 (21 oz.) can cherry pie filling"", ""1 tsp. almond extract"", ""2 eggs, beaten""], Mandrake Restorative Draught",Conjunctivitis Curse,"[""Preheat oven to 350\u00b0 and grease a 12 x 10 x 1-inch cookie sheet."", ""In large bowl, mix ingredients with a spoon."", ""Pour onto the pan and cook 20 to 30 minutes."", ""(Don't overcook."", ""Use the clean toothpick test.)"", ""Frost the cake when it is cooled with chocolate fudge frosting."", ""Cut into squares.""]",Handle Mandrake Restorative Draught with care due to its returned transfigured or cursed individuals to their original state.
Confusing Concotion Surprise,Confusion,"[""1/2 lb. sharp cheese"", ""1 stick butter"", ""1 1/2 c. flour"", ""3/4 tsp. salt"", ""pecans""], Confusing Concotion",Protego,"[""Grate cheese and mix with softened butter."", ""Add flour and salt; work mixture with hands until it firms up."", ""Shape into long roll; wrap in waxed paper."", ""Refrigerate."", ""Cut as for icebox cookies."", ""Put pecan pieces on top."", ""Bake under a charm at 400\u00b0 for 10 minutes.""]",Handle Confusing Concotion with care due to its confusion.
Draught of Peace Surprise,Relieved anxiety,"[""1 lb. colorful gumdrops, cut in 4 pieces (do not use licorice flavored gumdrops)"", ""1 (10 oz.) pkg. pitted dates, chopped"", ""1 c. raisins"", ""1 c. chopped pecans or walnuts"", ""1 box yellow cake mix"", ""1 (20 oz.) can apple pie filling"", ""1 Tbsp. cinnamon or apple pie spice"", ""3 eggs""], Draught of Peace",Nox,"[""Mix candy, raisins, nuts and dates with dry cake mix."", ""Beat together apple pie filling, eggs and cinnamon until well mixed. Pour this in cake and fruit mix and mix well."", ""Pack into two greased loaf pans or one greased tube pan and bake at 350\u00b0 for 70 minutes."", ""May put icing on cake or eat plain."", ""This is very good and rather easy.""]",Handle Draught of Peace with care due to its relieved anxiety.
Hair-Dyeing Potion Surprise,Changed the colour of the drinker's hair,"[""1 angel food cake"", ""1 can blueberry pie filling"", ""1 large container Cool Whip"", ""1 tsp. almond extract""], Hair-Dyeing Potion",Obscuro,"[""Tear cake into tiny pieces and line bottom of an oblong cake pan."", ""Mix Cool Whip and almond extract together and pour over cake. Pour pie filling over this and swirl around."", ""(Can use other pie filling if desired.)""]",Handle Hair-Dyeing Potion with care due to its changed the colour of the drinker's hair.
Malevolent Mixture Surprise,Poison or other foul effects (most likely),"[""1 1/2 c. cold coffee"", ""1 1/2 c. cold chocolate ice cream"", ""1/4 c. Hershey's syrup"", ""whipped cream""], Malevolent Mixture",Reparo,"[""In blender container, place all ingredients except whipped cream."", ""Cover; blend until smooth."", ""Serve immediately over crushed ice."", ""Garnish with whipped cream."", ""Makes about 4 (6 ounce) servings.""]",Handle Malevolent Mixture with care due to its poison or other foul effects (most likely).
Everlasting Elixirs Surprise,Permanent magical effects,"[""1 c. margarine"", ""2 c. packed brown sugar"", ""1/2 c. light Karo syrup"", ""1/2 tsp. salt"", ""1/2 tsp. baking soda"", ""1 tsp. vanilla"", ""8 to 10 qt. popped popcorn""], Everlasting Elixirs",Expecto patronum,"[""Melt margarine; add sugar, Karo syrup and salt."", ""Bring to rolling boil and cook for 5 minutes."", ""Remove from heat; add soda and vanilla."", ""Mix well."", ""Pour over popped popcorn and mix well. Place pan in oven at 200\u00b0 and bake for 1 hour; stir every 15 minutes.""]",Handle Everlasting Elixirs with care due to its permanent magical effects.
Grand Wiggenweld Potion Surprise,"Heals injuries, restores stamina","[""1 Oreo cookie crust"", ""1/2 c. milk"", ""20 marshmallows (large, white)"", ""1 c. heavy cream, whipped"", ""3 Tbsp. creme de cacao (white)"", ""3 Tbsp. creme de menthe (green)""], Grand Wiggenweld Potion",Disillusionment Charm,"[""Heat milk in double boiler."", ""Add marshmallows and stir until melted."", ""Cool thoroughly."", ""Combine whipped cream, creme de menthe and creme de cacao."", ""Fold into cooled marshmallow mixture."", ""Pour into chilled crust and freeze."", ""Serve frozen.""]","Handle Grand Wiggenweld Potion with care due to its heals injuries, restores stamina."
Hiccoughing Solution Surprise,Presumably causes hiccoughs,"[""1 box graham crackers"", ""1/2 c. sugar"", ""1 c. chopped pecans"", ""1 stick butter"", ""1 stick margarine"", ""1/2 c. chopped almonds""], Hiccoughing Solution",Anapneo,"[""Line cookie sheet with foil."", ""Place crackers as close as possible on sheet."", ""Boil butter, margarine and sugar two minutes. Brush/pour over graham crackers and sprinkle with chopped nuts. Bake under a charm in preheated oven at 350\u00b0 for 12 minutes."", ""Cool and break into pieces.""]",Handle Hiccoughing Solution with care due to its presumably causes hiccoughs.
Edurus Potion Surprise,Gave the drinker rocky skin,"[""2 pkg. frozen chopped spinach, cooked and drained"", ""2 c. seasoned stuffing mix"", ""2 onions, chopped"", ""4 eggs"", ""2/3 c. melted butter"", ""1/2 c. Parmesan cheese"", ""1/2 tsp. garlic salt"", ""1/2 tsp. thyme"", ""1/4 tsp. pepper""], Edurus Potion",Spongify,"[""Mix and refrigerate to stiffen to shape into 1-inch balls. Bake under a charm at 350\u00b0 for 20 minutes."", ""Yields 40 to 50 balls.""]",Handle Edurus Potion with care due to its gave the drinker rocky skin.
Herbicide Potion Surprise,Killed or damaged plants,"[""2 cans cream of chicken soup"", ""1 large onion, grated"", ""2 cans cut asparagus"", ""buttered bread crumbs"", ""slivered almonds"", ""1 lb. sharp Cheddar cheese, grated""], Herbicide Potion",Furnunculus Curse,"[""Drain asparagus."", ""Alternate layers of asparagus, grated onion and grated cheese."", ""Pour on a layer of soup."", ""Sprinkle with onion. Place in oven at 350\u00b0 until bubbly."", ""Remove and place buttered bread crumbs on top and brown while dressing.""]",Handle Herbicide Potion with care due to its killed or damaged plants.
